time,x=0.000000,x=0.100000,x=0.200000,x=0.300000,x=0.400000,x=0.500000,x=0.600000,x=0.700000,x=0.800000,x=0.900000,x=1.000000,x=1.100000,x=1.200000,x=1.300000,x=1.400000,x=1.500000,x=1.600000,x=1.700000,x=1.800000,x=1.900000,x=2.000000,x=2.100000,x=2.200000,x=2.300000,x=2.400000,x=2.500000,x=2.600000,x=2.700000,x=2.800000,x=2.900000,x=3.000000,x=3.100000,x=3.200000,x=3.300000,x=3.400000,x=3.500000,x=3.600000,x=3.700000,x=3.800000,x=3.900000,x=4.000000,x=4.100000,x=4.200000,x=4.300000,x=4.400000,x=4.500000,x=4.600000,x=4.700000,x=4.800000,x=4.900000,x=5.000000,x=5.100000,x=5.200000,x=5.300000,x=5.400000,x=5.500000,x=5.600000,x=5.700000,x=5.800000,x=5.900000,x=6.000000,x=6.100000,x=6.200000
1.00000000,-0.28777389,-0.28596512,-0.28166649,-0.27470891,-0.26430099,-0.25048832,-0.23461482,-0.21798011,-0.20056329,-0.18133885,-0.15946652,-0.13491123,-0.10821221,-0.08002360,-0.05087836,-0.02117849,0.00874346,0.03857985,0.06803098,0.09680239,0.12460658,0.15116575,0.17621452,0.19950261,0.22079734,0.23988593,0.25657766,0.27070575,0.28212904,0.29073339,0.29643283,0.29917041,0.29891877,0.29568044,0.28948777,0.28040264,0.26851581,0.25394606,0.23683896,0.21736545,0.19572010,0.17211917,0.14679849,0.12001104,0.09202449,0.06311847,0.03358201,0.00371167,-0.02618601,-0.05577896,-0.08466812,-0.11232963,-0.13812237,-0.16150564,-0.18246738,-0.20174677,-0.22026989,-0.23804789,-0.25386913,-0.26646029,-0.27573717,-0.28240356,-0.28658630
1.05000000,-0.35657773,-0.35430435,-0.34878574,-0.34011802,-0.32765288,-0.31102851,-0.29114702,-0.26953217,-0.24684071,-0.22245837,-0.19543592,-0.16542956,-0.13281589,-0.09829013,-0.06251713,-0.02602719,0.01074779,0.04742062,0.08362048,0.11898493,0.15316054,0.18580581,0.21659457,0.24521919,0.27139367,0.29485646,0.31537315,0.33273874,0.34677971,0.35735577,0.36436125,0.36772615,0.36741686,0.36343645,0.35582471,0.34465769,0.33004696,0.31213851,0.29111128,0.26717536,0.24056991,0.21156077,0.18043778,0.14751191,0.11311217,0.07758233,0.04127810,0.00456631,-0.03216785,-0.06849457,-0.10388933,-0.13769821,-0.16923312,-0.19809551,-0.22455397,-0.24944796,-0.27332303,-0.29555658,-0.31471505,-0.32991976,-0.34145422,-0.34988608,-0.35509983
1.10000000,-0.42446755,-0.42180060,-0.41508855,-0.40461701,-0.39002583,-0.37075235,-0.34718399,-0.32076799,-0.29270410,-0.26295561,-0.23068626,-0.19530145,-0.15693587,-0.11623870,-0.07397341,-0.03080347,0.01272695,0.05614339,0.09900145,0.14087072,0.18133249,0.21998245,0.25643442,0.29032418,0.32131311,0.34909160,0.37338207,0.39394184,0.41056547,0.42308686,0.43138091,0.43536475,0.43499856,0.43028601,0.42127419,0.40805313,0.39075494,0.36955246,0.34465753,0.31631890,0.28481971,0.25047470,0.21362703,0.17464487,0.13391776,0.09185295,0.04887277,0.00541656,-0.03804469,-0.08097134,-0.12270857,-0.16250301,-0.19970052,-0.23411961,-0.26625821,-0.29685154,-0.32590847,-0.35229361,-0.37462826,-0.39249860,-0.40636857,-0.41653415,-0.42270332
1.15000000,-0.49127402,-0.48826637,-0.48041659,-0.46809952,-0.45128745,-0.42943161,-0.40246840,-0.37153225,-0.33813063,-0.30285101,-0.26519151,-0.22444308,-0.18047153,-0.13378894,-0.08519891,-0.03548753,0.01467838,0.06472696,0.11413565,0.16240519,0.20905220,0.25361046,0.29563472,0.33470510,0.37043122,0.40245611,0.43045979,0.45416246,0.47332729,0.48776279,0.49732472,0.50191756,0.50149539,0.49606245,0.48567302,0.47043090,0.45048840,0.42604476,0.39734422,0.36467356,0.32835919,0.28876397,0.24628351,0.20134229,0.15438949,0.10589525,0.05634929,0.00626764,-0.04378344,-0.09314469,-0.14104051,-0.18667215,-0.22950458,-0.26960035,-0.30756236,-0.34381626,-0.37778794,-0.40804402,-0.43347988,-0.45409067,-0.47032480,-0.48216426,-0.48922912
1.20000000,-0.55683668,-0.55351689,-0.54459754,-0.53044879,-0.51133266,-0.48688370,-0.45674798,-0.42162219,-0.38305019,-0.34216277,-0.29895871,-0.25280304,-0.20333478,-0.15085763,-0.09613849,-0.04005469,0.01660189,0.07315121,0.12898561,0.18353470,0.23625058,0.28660600,0.33409776,0.37825132,0.41862552,0.45481695,0.48646400,0.51325047,0.53490870,0.55122231,0.56202828,0.56721865,0.56674157,0.56060178,0.54886065,0.53163549,0.50909840,0.48147456,0.44903999,0.41211877,0.37107978,0.32633309,0.27832580,0.22753764,0.17447656,0.11967541,0.06369337,0.00712958,-0.04934433,-0.10494706,-0.15881106,-0.21016364,-0.25865633,-0.30455877,-0.34840543,-0.39015679,-0.42872712,-0.46263461,-0.49116637,-0.51458070,-0.53315481,-0.54659527,-0.55451785
1.25000000,-0.62100108,-0.61737523,-0.60745227,-0.59153178,-0.57006740,-0.54297026,-0.50979753,-0.47080745,-0.42733983,-0.38088566,-0.33201495,-0.28036516,-0.22545948,-0.16736500,-0.10673131,-0.04447420,0.01850090,0.08139783,0.14351498,0.20420671,0.26285983,0.31888681,0.37172763,0.42085426,0.46577586,0.50604358,0.54125508,0.57105854,0.59515617,0.61330720,0.62533026,0.63110524,0.63057441,0.62374310,0.61067955,0.59151429,0.56643882,0.53570367,0.49961596,0.45853624,0.41287499,0.36308842,0.30967403,0.25316575,0.19412954,0.13316159,0.07089437,0.00801835,-0.05468198,-0.11631366,-0.17596611,-0.23296817,-0.28718585,-0.33899494,-0.38867781,-0.43566178,-0.47851599,-0.51593282,-0.54759476,-0.57383881,-0.59468443,-0.60965311,-0.61841562
1.30000000,-0.68361611,-0.67967481,-0.66880254,-0.65119939,-0.62739450,-0.59758717,-0.56143245,-0.51885396,-0.47082976,-0.41897470,-0.36438927,-0.30714446,-0.24680869,-0.18324275,-0.11691427,-0.04870898,0.02038375,0.08945124,0.15768906,0.22437004,0.28881367,0.35037243,0.40843051,0.46240772,0.51176469,0.55600829,0.59469643,0.62744256,0.65391950,0.67386268,0.68707286,0.69341802,0.69283479,0.68532898,0.67097559,0.64991803,0.62236670,0.58859690,0.54894602,0.50381026,0.45364060,0.39893832,0.34025011,0.27816304,0.21330081,0.14632482,0.07794657,0.00895618,-0.05974842,-0.12718991,-0.19247846,-0.25510558,-0.31512563,-0.37287264,-0.42822642,-0.48011577,-0.52698156,-0.56783783,-0.60266956,-0.63172057,-0.65474057,-0.67117339,-0.68077151
1.35000000,-0.74453226,-0.74025972,-0.72847732,-0.70929114,-0.68320439,-0.65065010,-0.61151213,-0.56554613,-0.51331882,-0.45633744,-0.39609338,-0.33317651,-0.26737766,-0.19844234,-0.12662754,-0.05271677,0.02226473,0.09729987,0.17147545,0.24397523,0.31404758,0.38098438,0.44411492,0.50280808,0.55647736,0.60458650,0.64665481,0.68226195,0.71105217,0.73273778,0.74710212,0.75400166,0.75336747,0.74520588,0.72959844,0.70670109,0.67674262,0.64002236,0.59690721,0.54782795,0.49327499,0.43379345,0.36997798,0.30246796,0.23194535,0.15914020,0.08485014,0.00997055,-0.06449825,-0.13753914,-0.20835062,-0.27661512,-0.34249277,-0.40611196,-0.46686870,-0.52331964,-0.57399116,-0.61826739,-0.65628429,-0.68807123,-0.71315690,-0.73100180,-0.74143605
1.40000000,-0.80360093,-0.79898334,-0.78631658,-0.76564228,-0.73737189,-0.70207969,-0.65993422,-0.61070282,-0.55459524,-0.49283625,-0.42710574,-0.35850178,-0.28719096,-0.21294166,-0.13582168,-0.05645328,0.02416419,0.10493722,0.18484507,0.26297511,0.33849909,0.41064643,0.47869190,0.54195464,0.59980238,0.65165710,0.69700067,0.73538005,0.76641175,0.78978571,0.80526840,0.81270512,0.81202155,0.80322453,0.78640196,0.76172191,0.72943100,0.68985185,0.64337993,0.59047958,0.53167937,0.46756699,0.39878393,0.32602150,0.25002160,0.17158804,0.09161138,0.01109133,-0.06889521,-0.14734889,-0.22361242,-0.29754105,-0.36927401,-0.43859109,-0.50441166,-0.56510553,-0.61944745,-0.66714424,-0.70831837,-0.74273223,-0.76977751,-0.78899295,-0.80026076
1.45000000,-0.86067499,-0.85570625,-0.84217256,-0.82009111,-0.78975819,-0.75178996,-0.70662286,-0.65418456,-0.59445807,-0.52829992,-0.45736228,-0.38314820,-0.30629361,-0.22674799,-0.14446504,-0.05987714,0.02610741,0.11236283,0.19777327,0.28132552,0.36210820,0.43928487,0.51207529,0.57974981,0.64163176,0.69710275,0.74560852,0.78666442,0.81986022,0.84486426,0.86142669,0.86938202,0.86865079,0.85924028,0.84124452,0.81484333,0.78030049,0.73796115,0.68824834,0.63165880,0.56875802,0.50017495,0.42659703,0.34876792,0.26749260,0.18365469,0.09824169,0.01234628,-0.07291906,-0.15663379,-0.23831289,-0.31791658,-0.39541695,-0.47015674,-0.54067152,-0.60534364,-0.66327770,-0.71438544,-0.75863892,-0.79554790,-0.82445799,-0.84500856,-0.85709872
